Episode 414, Total Reward: 183.0, Epsilon: 0.113
Episode 415, Total Reward: 158.0, Epsilon: 0.112
Episode 416, Total Reward: 193.5, Epsilon: 0.112
Episode 417, Total Reward: 191, Epsilon: 0.111
Episode 418, Total Reward: 193.5, Epsilon: 0.111
Episode 419, Total Reward: 101.0, Epsilon: 0.110
Episode 420, Total Reward: 187.5, Epsilon: 0.110
Episode 421, Total Reward: 183.0, Epsilon: 0.109
Episode 422, Total Reward: 192.0, Epsilon: 0.109
Episode 423, Total Reward: 190.5, Epsilon: 0.108
Episode 424, Total Reward: 184.5, Epsilon: 0.107
Episode 425, Total Reward: 182.0, Epsilon: 0.107
Episode 426, Total Reward: 193.5, Epsilon: 0.106
Episode 427, Total Reward: 195.5, Epsilon: 0.106
Episode 428, Total Reward: 185.5, Epsilon: 0.105
Episode 429, Total Reward: 181.5, Epsilon: 0.105
Episode 430, Total Reward: 101.5, Epsilon: 0.104
Episode 431, Total Reward: 174.5, Epsilon: 0.104
Episode 432, Total Reward: 170.5, Epsilon: 0.103
Episode 433, Total Reward: 191, Epsilon: 0.103
Episode 434, Total Reward: 124.0, Epsilon: 0.102
Episode 435, Total Reward: 147.5, Epsilon: 0.102
Episode 436, Total Reward: 168.0, Epsilon: 0.101
Episode 437, Total Reward: 191, Epsilon: 0.101
Episode 438, Total Reward: 168.5, Epsilon: 0.100
Episode 439, Total Reward: 183.0, Epsilon: 0.100
Episode 440, Total Reward: 183.0, Epsilon: 0.099
Episode 441, Total Reward: 195.5, Epsilon: 0.099
Episode 442, Total Reward: 193.5, Epsilon: 0.098
Episode 443, Total Reward: 184.5, Epsilon: 0.098
Episode 444, Total Reward: 185.0, Epsilon: 0.097
Episode 445, Total Reward: 173.0, Epsilon: 0.097
Episode 446, Total Reward: 193.5, Epsilon: 0.096
Episode 447, Total Reward: 194.0, Epsilon: 0.096
Episode 448, Total Reward: 183.0, Epsilon: 0.095
Episode 449, Total Reward: 195.5, Epsilon: 0.095
Episode 450, Total Reward: 184.0, Epsilon: 0.094
Episode 451, Total Reward: 172.5, Epsilon: 0.094
Episode 452, Total Reward: 48.5, Epsilon: 0.093
Episode 453, Total Reward: 193.5, Epsilon: 0.093
Episode 454, Total Reward: 185.5, Epsilon: 0.092
Episode 455, Total Reward: 78.5, Epsilon: 0.092
Episode 456, Total Reward: 163.5, Epsilon: 0.092
Episode 457, Total Reward: 193.5, Epsilon: 0.091
Episode 458, Total Reward: -407.5, Epsilon: 0.091
Episode 459, Total Reward: 196, Epsilon: 0.090
Episode 460, Total Reward: 146.5, Epsilon: 0.090
Episode 461, Total Reward: -306.0, Epsilon: 0.089
Episode 462, Total Reward: 188.0, Epsilon: 0.089
Episode 463, Total Reward: 185.5, Epsilon: 0.088
Episode 464, Total Reward: -102.5, Epsilon: 0.088
Episode 465, Total Reward: 158.0, Epsilon: 0.087
Episode 466, Total Reward: 194.5, Epsilon: 0.087
Episode 467, Total Reward: 184.5, Epsilon: 0.087
Episode 468, Total Reward: 128.0, Epsilon: 0.086
Episode 469, Total Reward: 193.5, Epsilon: 0.086
Episode 470, Total Reward: 167.0, Epsilon: 0.085
Episode 471, Total Reward: 30.0, Epsilon: 0.085
Episode 472, Total Reward: 194.5, Epsilon: 0.084
Episode 473, Total Reward: 195.0, Epsilon: 0.084
Episode 474, Total Reward: 158.0, Epsilon: 0.084
Episode 475, Total Reward: 180.5, Epsilon: 0.083
Episode 476, Total Reward: -2.5, Epsilon: 0.083
Episode 477, Total Reward: 184.5, Epsilon: 0.082
Episode 478, Total Reward: 103.0, Epsilon: 0.082
Episode 479, Total Reward: 177.5, Epsilon: 0.082
Episode 480, Total Reward: 193.5, Epsilon: 0.081
Episode 481, Total Reward: 80.0, Epsilon: 0.081
Episode 482, Total Reward: 192.5, Epsilon: 0.080
Episode 483, Total Reward: 183.0, Epsilon: 0.080
Episode 484, Total Reward: 58.0, Epsilon: 0.080
Episode 485, Total Reward: 184.5, Epsilon: 0.079
Episode 486, Total Reward: 114.0, Epsilon: 0.079
Episode 487, Total Reward: -128.5, Epsilon: 0.078
Episode 488, Total Reward: 193.5, Epsilon: 0.078
Episode 489, Total Reward: 192.5, Epsilon: 0.078
Episode 490, Total Reward: 193.5, Epsilon: 0.077
Episode 491, Total Reward: 193.5, Epsilon: 0.077
Episode 492, Total Reward: 196, Epsilon: 0.076
Episode 493, Total Reward: 191, Epsilon: 0.076
Episode 494, Total Reward: 137.5, Epsilon: 0.076
Episode 495, Total Reward: 179.5, Epsilon: 0.075
Episode 496, Total Reward: 118.0, Epsilon: 0.075
Episode 497, Total Reward: 196, Epsilon: 0.075
Episode 498, Total Reward: 193.5, Epsilon: 0.074
Episode 499, Total Reward: 23.0, Epsilon: 0.074
Episode 500, Total Reward: 7.0, Epsilon: 0.073
Episode 501, Total Reward: 196, Epsilon: 0.073
Episode 502, Total Reward: 181.5, Epsilon: 0.073
