,Behaviour,Round,total100,total90,total75,total50
113,SCOUT,12,0.04542326221610461,0.044735030970406056,0.028217481073640742,0.021335168616655197
114,FRONTIER_CENTRAL_GREEDY,12,0.038540949759119064,0.03785271851342051,0.025464556090846524,0.018582243633860976
115,ZONE_SPLIT,12,0.03922918100481762,0.038540949759119064,0.030282174810736407,0.024088093599449415
116,ZONE_VORONOI,12,0.048864418444597386,0.04817618719889883,0.02752924982794219,0.021335168616655197
117,WANDERING,13,0.8802477632484514,0.8795595320027529,0.17274604267033725,0.07708189951823813
118,GREEDY,13,0.16517549896765313,0.16448726772195457,0.03372333103922918,0.02477632484514797
119,FRONTIER,13,0.029593943565037854,0.028905712319339298,0.022711631108052306,0.017894012388162423
120,GREEDY_FRONTIER,13,0.03509979353062629,0.034411562284927734,0.02615278733654508,0.01995870612525809
121,FRONTIER_ASSIST,13,0.029593943565037854,0.028905712319339298,0.022711631108052306,0.017894012388162423
122,SCOUT,13,0.047487955953200274,0.04679972470750172,0.03234686854783207,0.02064693737095664
123,FRONTIER_CENTRAL_GREEDY,13,0.03922918100481762,0.038540949759119064,0.025464556090846524,0.018582243633860976
124,ZONE_SPLIT,13,0.038540949759119064,0.03785271851342051,0.028905712319339298,0.022711631108052306
125,ZONE_VORONOI,13,0.03991741225051618,0.03922918100481762,0.02477632484514797,0.018582243633860976
126,WANDERING,14,0.635237439779766,0.6345492085340675,0.24845147969717826,0.09497591190640055
127,GREEDY,14,0.09841706813489333,0.09772883688919477,0.03303509979353063,0.024088093599449415
128,FRONTIER,14,0.030970406056434963,0.030282174810736407,0.02339986235375086,0.017894012388162423
129,GREEDY_FRONTIER,14,0.03922918100481762,0.038540949759119064,0.028217481073640742,0.021335168616655197
130,FRONTIER_ASSIST,14,0.030970406056434963,0.030282174810736407,0.02339986235375086,0.017894012388162423
131,SCOUT,14,0.04129387474191328,0.040605643496214726,0.030282174810736407,0.02202339986235375
132,FRONTIER_CENTRAL_GREEDY,14,0.035788024776324846,0.03509979353062629,0.025464556090846524,0.018582243633860976
133,ZONE_SPLIT,14,0.07364074328974536,0.0729525120440468,0.030970406056434963,0.024088093599449415
134,ZONE_VORONOI,14,0.040605643496214726,0.03991741225051618,0.02615278733654508,0.019270474879559532
135,WANDERING,15,0.4686854783207158,0.4679972470750172,0.11768754301445286,0.07639366827253957
136,GREEDY,15,0.1672401927047488,0.16655196145905024,0.03716448726772195,0.02477632484514797
137,FRONTIER,15,0.03716448726772195,0.0364762560220234,0.02339986235375086,0.017205781142463867
138,GREEDY_FRONTIER,15,0.03716448726772195,0.0364762560220234,0.028217481073640742,0.021335168616655197
139,FRONTIER_ASSIST,15,0.03716448726772195,0.0364762560220234,0.02339986235375086,0.017205781142463867
140,SCOUT,15,0.047487955953200274,0.04679972470750172,0.02752924982794219,0.021335168616655197
141,FRONTIER_CENTRAL_GREEDY,15,0.03303509979353063,0.03234686854783207,0.02339986235375086,0.018582243633860976
142,ZONE_SPLIT,15,0.07639366827253957,0.07570543702684102,0.034411562284927734,0.02339986235375086
143,ZONE_VORONOI,15,0.03922918100481762,0.038540949759119064,0.02477632484514797,0.019270474879559532
144,WANDERING,16,0.45973847212663455,0.459050240880936,0.13626978664831382,0.07777013076393668
145,GREEDY,16,0.12112869924294563,0.12044046799724707,0.030970406056434963,0.022711631108052306
146,FRONTIER,16,0.03234686854783207,0.031658637302133516,0.02477632484514797,0.017205781142463867
147,GREEDY_FRONTIER,16,0.03716448726772195,0.0364762560220234,0.025464556090846524,0.02064693737095664
148,FRONTIER_ASSIST,16,0.03234686854783207,0.031658637302133516,0.02477632484514797,0.017205781142463867
149,SCOUT,16,0.035788024776324846,0.03509979353062629,0.02752924982794219,0.02064693737095664
150,FRONTIER_CENTRAL_GREEDY,16,0.035788024776324846,0.03509979353062629,0.026841018582243633,0.01995870612525809
151,ZONE_SPLIT,16,0.04679972470750172,0.04611149346180317,0.029593943565037854,0.024088093599449415
152,ZONE_VORONOI,16,0.0364762560220234,0.035788024776324846,0.02477632484514797,0.018582243633860976
153,WANDERING,17,0.3737095664143152,0.37302133516861663,0.1321403991741225,0.08258774948382656
154,GREEDY,17,0.24432209222298693,0.24363386097728837,0.051617343427391604,0.028905712319339298
155,FRONTIER,17,0.03509979353062629,0.034411562284927734,0.02615278733654508,0.018582243633860976
156,GREEDY_FRONTIER,17,0.03991741225051618,0.03922918100481762,0.030970406056434963,0.02339986235375086
157,FRONTIER_ASSIST,17,0.03509979353062629,0.034411562284927734,0.02615278733654508,0.018582243633860976
158,SCOUT,17,0.034411562284927734,0.03372333103922918,0.02752924982794219,0.01995870612525809
159,FRONTIER_CENTRAL_GREEDY,17,0.04129387474191328,0.040605643496214726,0.02339986235375086,0.018582243633860976
160,ZONE_SPLIT,17,0.03991741225051618,0.03922918100481762,0.028905712319339298,0.02202339986235375
161,ZONE_VORONOI,17,0.07157604955264969,0.07088781830695114,0.031658637302133516,0.01995870612525809
162,WANDERING,18,0.5361321403991741,0.5354439091534756,0.182381280110117,0.08878183069511356
163,GREEDY,18,0.05299380591878871,0.05230557467309016,0.035788024776324846,0.02202339986235375
164,FRONTIER,18,0.031658637302133516,0.030970406056434963,0.02339986235375086,0.018582243633860976
165,GREEDY_FRONTIER,18,0.034411562284927734,0.03372333103922918,0.02752924982794219,0.01995870612525809
166,FRONTIER_ASSIST,18,0.031658637302133516,0.030970406056434963,0.02339986235375086,0.018582243633860976
167,SCOUT,18,0.04129387474191328,0.040605643496214726,0.02615278733654508,0.019270474879559532
168,FRONTIER_CENTRAL_GREEDY,18,0.03372333103922918,0.03303509979353063,0.025464556090846524,0.018582243633860976
169,ZONE_SPLIT,18,0.04129387474191328,0.040605643496214726,0.028217481073640742,0.02202339986235375
170,ZONE_VORONOI,18,0.035788024776324846,0.03509979353062629,0.02615278733654508,0.019270474879559532
171,WANDERING,19,1.0,0.9993117687543015,0.15760495526496904,0.09084652443220922
172,GREEDY,19,0.1259463179628355,0.12525808671713695,0.047487955953200274,0.02477632484514797
173,FRONTIER,19,0.031658637302133516,0.030970406056434963,0.025464556090846524,0.017894012388162423
174,GREEDY_FRONTIER,19,0.03372333103922918,0.03303509979353063,0.02615278733654508,0.02064693737095664
175,FRONTIER_ASSIST,19,0.031658637302133516,0.030970406056434963,0.025464556090846524,0.017894012388162423
176,SCOUT,19,0.03922918100481762,0.038540949759119064,0.02752924982794219,0.01995870612525809
177,FRONTIER_CENTRAL_GREEDY,19,0.03716448726772195,0.0364762560220234,0.026841018582243633,0.018582243633860976
178,ZONE_SPLIT,19,0.047487955953200274,0.04679972470750172,0.030282174810736407,0.024088093599449415
179,ZONE_VORONOI,19,0.04955264969029594,0.048864418444597386,0.028905712319339298,0.019270474879559532
0,WANDERING,0,0.5147573786893447,0.5142571285642822,0.12156078039019509,0.06803401700850426
1,GREEDY,0,0.07253626813406704,0.0720360180090045,0.032016008004002,0.016008004002001
2,FRONTIER,0,0.021010505252626314,0.02051025512756378,0.014507253626813406,0.01150575287643822
3,GREEDY_FRONTIER,0,0.02501250625312656,0.02451225612806403,0.016508254127063533,0.01200600300150075
4,FRONTIER_ASSIST,0,0.021010505252626314,0.02051025512756378,0.014507253626813406,0.01150575287643822
5,SCOUT,0,0.03601800900450225,0.03551775887943972,0.01950975487743872,0.013006503251625813
6,FRONTIER_CENTRAL_GREEDY,0,0.025512756378189096,0.02501250625312656,0.016008004002001,0.01200600300150075
7,ZONE_SPLIT,0,0.06903451725862932,0.06853426713356678,0.03951975987993997,0.02451225612806403
8,ZONE_VORONOI,0,0.02801400700350175,0.02751375687843922,0.016508254127063533,0.01150575287643822
9,WANDERING,1,0.7988994497248624,0.7983991995997999,0.17208604302151076,0.07453726863431716
10,GREEDY,1,0.1330665332666333,0.1325662831415708,0.029014507253626812,0.017508754377188594
11,FRONTIER,1,0.07003501750875438,0.06953476738369184,0.02001000500250125,0.013006503251625813
12,GREEDY_FRONTIER,1,0.025512756378189096,0.02501250625312656,0.02051025512756378,0.015507753876938469
