num,layout,Method,Coverage 50%,Coverage 75%,Coverage 90%,Coverage 100%
10,ROOM,FRONTIER,100.00%,100.00%,100.00%,98.75%
10,ROOM,GREEDY_FRONTIER,100.00%,100.00%,100.00%,96.56%
10,ROOM,FRONTIER_ASSIST,100.00%,100.00%,100.00%,99.06%
10,ROOM,SCOUT,100.00%,100.00%,100.00%,98.75%
10,ROOM,FRONTIER_CENTRAL_GREEDY,100.00%,100.00%,100.00%,89.06%
10,ROOM,ZONE_SPLIT,100.00%,100.00%,98.75%,87.50%
10,ROOM,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
10,HOUSE,WANDERING,100.00%,100.00%,99.12%,71.18%
10,HOUSE,GREEDY,100.00%,100.00%,99.71%,97.06%
10,HOUSE,FRONTIER,100.00%,100.00%,100.00%,98.82%
10,HOUSE,GREEDY_FRONTIER,100.00%,100.00%,100.00%,96.76%
10,HOUSE,FRONTIER_ASSIST,100.00%,100.00%,100.00%,99.12%
10,HOUSE,SCOUT,100.00%,100.00%,100.00%,98.82%
10,HOUSE,FRONTIER_CENTRAL_GREEDY,100.00%,100.00%,100.00%,89.71%
10,HOUSE,ZONE_SPLIT,100.00%,100.00%,98.82%,88.24%
10,HOUSE,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
10,CAVE,WANDERING,100.00%,100.00%,98.89%,67.22%
10,CAVE,GREEDY,100.00%,100.00%,99.44%,95.56%
10,CAVE,FRONTIER,100.00%,100.00%,100.00%,98.89%
10,CAVE,GREEDY_FRONTIER,100.00%,100.00%,100.00%,96.11%
10,CAVE,FRONTIER_ASSIST,100.00%,100.00%,100.00%,99.17%
10,CAVE,SCOUT,100.00%,99.72%,99.72%,98.61%
10,CAVE,FRONTIER_CENTRAL_GREEDY,100.00%,100.00%,100.00%,90.00%
10,CAVE,ZONE_SPLIT,100.00%,100.00%,98.89%,88.61%
10,CAVE,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
5,PLAIN,WANDERING,100.00%,100.00%,98.95%,65.00%
5,PLAIN,GREEDY,100.00%,100.00%,99.47%,95.79%
5,PLAIN,FRONTIER,100.00%,100.00%,100.00%,98.95%
5,PLAIN,GREEDY_FRONTIER,100.00%,100.00%,100.00%,96.32%
5,PLAIN,FRONTIER_ASSIST,100.00%,100.00%,100.00%,99.21%
5,PLAIN,SCOUT,100.00%,99.74%,99.74%,98.68%
5,PLAIN,FRONTIER_CENTRAL_GREEDY,100.00%,100.00%,100.00%,90.53%
5,PLAIN,ZONE_SPLIT,100.00%,100.00%,98.95%,89.21%
5,PLAIN,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
5,OBSTACLES,WANDERING,100.00%,100.00%,98.50%,62.25%
5,OBSTACLES,GREEDY,100.00%,100.00%,99.50%,94.75%
5,OBSTACLES,FRONTIER,100.00%,100.00%,100.00%,98.75%
5,OBSTACLES,GREEDY_FRONTIER,100.00%,100.00%,100.00%,96.50%
5,OBSTACLES,FRONTIER_ASSIST,100.00%,100.00%,100.00%,99.00%
5,OBSTACLES,SCOUT,100.00%,99.75%,99.75%,98.75%
5,OBSTACLES,FRONTIER_CENTRAL_GREEDY,100.00%,100.00%,100.00%,91.00%
5,OBSTACLES,ZONE_SPLIT,100.00%,100.00%,99.00%,89.75%
5,OBSTACLES,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
5,MAZE,WANDERING,100.00%,99.05%,95.24%,59.29%
5,MAZE,GREEDY,100.00%,100.00%,99.29%,92.14%
5,MAZE,FRONTIER,100.00%,100.00%,100.00%,98.81%
